N,Iteration,Molecule,LowestRMSD
1,4,mol54,2.5755987148622355
1,4,mol55,5.32060952564758
1,4,mol56,1.3149858844299436
1,4,mol57,2.4428359134927584
1,4,mol58,0.828432079809288
1,4,mol59,2.3971307641173394
1,4,mol60,1.8777171388780483
1,4,mol61,2.321852239946879
1,4,mol62,1.8983477583359025
1,4,mol63,5.2929118978342435
1,4,mol64,0.9848986113921688
1,4,mol65,4.0484676191775835
1,4,mol66,5.262636346319209
1,4,mol67,2.7681939497954637
1,4,mol68,2.268814320678157
1,4,mol69,2.7649085431333695
1,4,mol70,0.7195820028719055
1,4,mol71,2.257342581380657
1,4,mol72,5.453582623071432
1,4,mol73,2.7714834942792828
1,4,mol74,0.6210307402167123
1,4,mol75,5.933250192790111
1,4,mol76,6.028061191048936
1,4,mol77,4.353766650669837
1,4,mol79,0.8467282350317602
1,4,mol80,2.1368458101336447
1,4,mol81,0.8877824728743282
1,4,mol82,0.8398345523340403
1,4,mol83,1.185044081569609
1,4,mol84,1.9312087288239232
1,4,mol85,0.9465972273793924
1,4,mol86,2.1428357232881847
1,4,mol87,6.06300094807149
1,4,mol88,3.2858270322452054
1,4,mol89,1.7830444371916254
1,4,mol90,0.9411091546055395
1,4,mol91,0.7650106271849316
1,4,mol92,1.5994250363918396
1,4,mol93,0.9456791887976594
1,4,mol94,6.0742285489828065
1,4,mol95,5.98147444765492
1,4,mol96,5.376279265355447
1,5,mol0,6.149066675461268
1,5,mol1,4.946098221662539
1,5,mol2,4.955403973472095
1,5,mol3,2.0103709843613213
1,5,mol4,2.162928669751914
1,5,mol5,5.102917006651608
1,5,mol6,4.508463153614544
1,5,mol7,2.9356029803808705
1,5,mol8,3.673174120387463
1,5,mol9,0.7384642438389089
1,5,mol10,0.8884947993213311
1,5,mol11,3.4365502685417377
1,5,mol12,4.377859752826335
1,5,mol13,1.61471737334726
1,5,mol14,1.156494349432919
1,5,mol15,1.1571541917225432
1,5,mol16,2.894973166024169
1,5,mol17,1.260757047174435
1,5,mol18,3.480571238317067
1,5,mol19,9.874401321274608
1,5,mol20,5.828678191726038
1,5,mol21,6.387254688876233
1,5,mol22,2.8044141066658943
1,5,mol23,1.6205116937126558
1,5,mol24,1.440460780444924
1,5,mol25,2.5100800624183286
1,5,mol26,4.176407604406944
1,5,mol27,4.098603386520828
1,5,mol28,6.370192582766902
1,5,mol29,0.9077163129920025
1,5,mol30,2.7377404005437094
1,5,mol31,6.384310781431497
1,5,mol32,1.2401948278607806
1,5,mol33,3.5140036250977316
1,5,mol34,6.473240623653217
1,5,mol35,4.933827594893141
1,5,mol36,6.835120607191737
1,5,mol37,5.019377616630705
1,5,mol38,6.256081529599817
1,5,mol39,1.7175300593751313
1,5,mol40,2.494125983357125
1,5,mol41,1.6411127952831597
1,5,mol42,0.7900409479727514
1,5,mol43,1.7746095374131678
1,5,mol44,5.539295204770029
1,5,mol45,2.169028520789895
1,5,mol46,4.9027087130751665
1,5,mol47,5.299805336676685
1,5,mol48,1.7891046686088814
1,5,mol49,3.510567785711725
1,5,mol50,3.5191685051624444
1,5,mol51,1.6416149816132715
1,5,mol52,2.036250068631061
1,5,mol53,7.767341697321842
1,5,mol54,1.9705444425335854
1,5,mol55,0.909581859815752
1,5,mol56,2.12782492064471
1,5,mol57,2.397243010261997
1,5,mol58,1.15648260909659
1,5,mol59,2.3706124373367223
1,5,mol60,1.8779035866915774
1,5,mol61,2.321852239946879
1,5,mol62,7.349218005016802
1,5,mol63,0.9314602321718556
1,5,mol64,3.5327787091828373
1,5,mol65,3.8396809869019677
1,5,mol66,5.262636346319209
1,5,mol67,2.290341467646485
1,5,mol68,3.18013153438659
1,5,mol69,4.322730943981369
1,5,mol70,0.9327801434421729
1,5,mol71,3.872464235526078
1,5,mol72,1.9263558079671808
1,5,mol73,1.9984640546711119
1,5,mol74,5.964626322623188
1,5,mol75,2.954205124654784
1,5,mol76,0.661977644500312
1,5,mol77,4.353766650669837
1,5,mol79,3.182840799348908
1,5,mol80,1.2463473188252372
1,5,mol81,3.0995174203644758
1,5,mol82,0.4933917713136287
1,5,mol83,1.2951594908898694
1,5,mol84,6.258496923611703
1,5,mol85,0.9797823973599804
1,5,mol86,2.980589588822989
1,5,mol87,2.4331583258023
1,5,mol88,2.8831955973363996
1,5,mol89,1.0096182025894738
1,5,mol90,6.58778134479012
1,5,mol91,3.5726522773704135
1,5,mol92,4.156983757262969
1,5,mol93,0.8898108840506502
1,5,mol94,5.462416277390436
1,5,mol95,5.883981161725322
1,5,mol96,4.243022766099231
1,6,mol0,2.844128909251306
1,6,mol1,4.773255338340911
1,6,mol2,5.416418675432666
1,6,mol3,2.5400568196681856
1,6,mol4,2.9803915638575154
1,6,mol5,5.320809683351925
1,6,mol6,5.494793845263391
1,6,mol7,3.738828250936381
1,6,mol8,1.8268306572485467
1,6,mol9,2.9932364165135468
1,6,mol10,0.8310690502694642
1,6,mol11,3.4356090058490985
1,6,mol12,3.6986103582404204
1,6,mol13,1.8259751399126296
1,6,mol14,0.9619121900419766
1,6,mol15,0.8856642183308406
1,6,mol16,3.3034513079505197
1,6,mol17,6.065380071991719
1,6,mol18,3.6679243919415785
1,6,mol19,9.844604670592739
1,6,mol20,5.8313318721577865
1,6,mol21,1.04897757186973
1,6,mol22,3.7489721922592776
1,6,mol23,7.171115870667587
1,6,mol24,1.4805438872607803
1,6,mol25,1.5890632176694544
1,6,mol26,4.001052172311123
