mol_id,ligand,receptor,score
mol13,rec_13_mol13.sdf,rec_final_13-noH.pdb,23.8562
mol13,rec_15_mol13.sdf,rec_final_15-noH.pdb,23.3658
mol13,rec_18_mol13.sdf,rec_final_18-noH.pdb,22.8118
mol13,rec_10_mol13.sdf,rec_final_10-noH.pdb,20.5879
mol13,rec_1_mol13.sdf,rec_final_1-noH.pdb,19.2039
mol13,rec_16_mol13.sdf,rec_final_16-noH.pdb,18.0658
mol14,rec_14_mol14.sdf,rec_final_14-noH.pdb,24.8000
mol14,rec_6_mol14.sdf,rec_final_6-noH.pdb,24.0596
mol14,rec_8_mol14.sdf,rec_final_8-noH.pdb,23.4492
mol14,rec_19_mol14.sdf,rec_final_19-noH.pdb,22.7643
mol14,rec_9_mol14.sdf,rec_final_9-noH.pdb,22.6124
mol14,rec_13_mol14.sdf,rec_final_13-noH.pdb,22.5642
mol14,rec_2_mol14.sdf,rec_final_2-noH.pdb,22.4622
mol14,rec_20_mol14.sdf,rec_final_20-noH.pdb,22.0908
mol14,rec_11_mol14.sdf,rec_final_11-noH.pdb,21.8443
mol14,rec_15_mol14.sdf,rec_final_15-noH.pdb,21.4207
mol14,rec_12_mol14.sdf,rec_final_12-noH.pdb,20.7410
mol14,rec_18_mol14.sdf,rec_final_18-noH.pdb,20.6131
mol14,rec_4_mol14.sdf,rec_final_4-noH.pdb,20.2299
mol14,rec_10_mol14.sdf,rec_final_10-noH.pdb,19.5037
mol14,rec_5_mol14.sdf,rec_final_5-noH.pdb,19.1518
mol14,rec_7_mol14.sdf,rec_final_7-noH.pdb,18.9588
mol14,rec_17_mol14.sdf,rec_final_17-noH.pdb,18.5590
mol14,rec_3_mol14.sdf,rec_final_3-noH.pdb,17.9809
mol14,rec_16_mol14.sdf,rec_final_16-noH.pdb,17.7608
mol14,rec_1_mol14.sdf,rec_final_1-noH.pdb,14.1684
mol15,rec_17_mol15.sdf,rec_final_17-noH.pdb,25.9028
mol15,rec_6_mol15.sdf,rec_final_6-noH.pdb,25.8375
mol15,rec_8_mol15.sdf,rec_final_8-noH.pdb,25.7184
mol15,rec_20_mol15.sdf,rec_final_20-noH.pdb,25.6633
mol15,rec_19_mol15.sdf,rec_final_19-noH.pdb,25.0169
mol15,rec_3_mol15.sdf,rec_final_3-noH.pdb,25.0159
mol15,rec_7_mol15.sdf,rec_final_7-noH.pdb,24.9798
mol15,rec_11_mol15.sdf,rec_final_11-noH.pdb,24.1072
mol15,rec_2_mol15.sdf,rec_final_2-noH.pdb,23.9032
mol15,rec_13_mol15.sdf,rec_final_13-noH.pdb,23.3859
mol15,rec_12_mol15.sdf,rec_final_12-noH.pdb,23.3439
mol15,rec_14_mol15.sdf,rec_final_14-noH.pdb,23.3407
mol15,rec_16_mol15.sdf,rec_final_16-noH.pdb,23.0326
mol15,rec_9_mol15.sdf,rec_final_9-noH.pdb,22.9836
mol15,rec_18_mol15.sdf,rec_final_18-noH.pdb,22.5887
mol15,rec_4_mol15.sdf,rec_final_4-noH.pdb,22.3899
mol15,rec_5_mol15.sdf,rec_final_5-noH.pdb,22.2848
mol15,rec_15_mol15.sdf,rec_final_15-noH.pdb,22.1734
mol15,rec_10_mol15.sdf,rec_final_10-noH.pdb,20.8730
mol15,rec_1_mol15.sdf,rec_final_1-noH.pdb,19.2405
mol16,rec_17_mol16.sdf,rec_final_17-noH.pdb,26.5862
mol16,rec_7_mol16.sdf,rec_final_7-noH.pdb,25.9944
mol16,rec_6_mol16.sdf,rec_final_6-noH.pdb,25.6167
mol16,rec_16_mol16.sdf,rec_final_16-noH.pdb,25.0616
mol16,rec_20_mol16.sdf,rec_final_20-noH.pdb,23.9064
mol16,rec_8_mol16.sdf,rec_final_8-noH.pdb,23.5642
mol16,rec_12_mol16.sdf,rec_final_12-noH.pdb,23.3743
mol16,rec_19_mol16.sdf,rec_final_19-noH.pdb,23.2714
mol16,rec_18_mol16.sdf,rec_final_18-noH.pdb,22.8804
mol16,rec_3_mol16.sdf,rec_final_3-noH.pdb,22.3425
mol16,rec_2_mol16.sdf,rec_final_2-noH.pdb,22.2292
mol16,rec_9_mol16.sdf,rec_final_9-noH.pdb,22.0309
mol16,rec_14_mol16.sdf,rec_final_14-noH.pdb,21.8297
mol16,rec_11_mol16.sdf,rec_final_11-noH.pdb,21.7959
mol16,rec_13_mol16.sdf,rec_final_13-noH.pdb,21.4170
mol16,rec_15_mol16.sdf,rec_final_15-noH.pdb,21.2529
mol16,rec_5_mol16.sdf,rec_final_5-noH.pdb,21.0145
mol16,rec_4_mol16.sdf,rec_final_4-noH.pdb,20.5439
mol16,rec_10_mol16.sdf,rec_final_10-noH.pdb,19.8221
mol16,rec_1_mol16.sdf,rec_final_1-noH.pdb,17.1547
mol17,rec_6_mol17.sdf,rec_final_6-noH.pdb,17.4472
mol17,rec_2_mol17.sdf,rec_final_2-noH.pdb,17.4106
mol17,rec_7_mol17.sdf,rec_final_7-noH.pdb,16.8130
mol17,rec_11_mol17.sdf,rec_final_11-noH.pdb,16.6961
mol17,rec_8_mol17.sdf,rec_final_8-noH.pdb,16.5494
mol17,rec_20_mol17.sdf,rec_final_20-noH.pdb,16.5342
mol17,rec_17_mol17.sdf,rec_final_17-noH.pdb,16.4316
mol17,rec_14_mol17.sdf,rec_final_14-noH.pdb,16.2769
mol17,rec_13_mol17.sdf,rec_final_13-noH.pdb,16.1894
mol17,rec_19_mol17.sdf,rec_final_19-noH.pdb,16.1465
mol17,rec_18_mol17.sdf,rec_final_18-noH.pdb,16.0560
mol17,rec_9_mol17.sdf,rec_final_9-noH.pdb,16.0066
